REV,REPORT_TIME,VEHICLE_TAG,LONGITUDE,LATITUDE,SPEED,HEADING,TRAIN_ASSIGNMENT,PREDICTABLE
1526,12/05/2016 00:41:04,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:42:40,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:44:10,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:45:40,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:47:10,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:48:40,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:50:10,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:51:40,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 00:53:10,01,-122.41204,37.79473,0.833,294.0,,0

1526,12/05/2016 21:27:57,1078,-122.40221,37.78833,4.444,46.0,9819,1

1526,12/05/2016 21:28:47,1078,-122.4017,37.78965,7.5,13.0,9819,1

1526,12/05/2016 21:29:27,1078,-122.40194,37.7907,7.5,83.0,9819,1

1526,12/05/2016 21:29:41,1078,-122.39989,37.7908,7.5,45.0,9819,1

1526,12/05/2016 21:30:07,1078,-122.39793,37.79191,6.111,66.0,9819,1

1526,12/05/2016 21:30:55,1078,-122.39626,37.79313,5.556,42.0,9819,1

1526,12/05/2016 21:36:29,1078,-122.39429,37.79545,0.0,91.0,9819,1

1526,12/05/2016 21:36:44,1078,-122.39461,37.79576,8.611,322.0,,0

1526,12/05/2016 21:37:28,1078,-122.39596,37.79731,11.667,325.0,,0

1526,12/05/2016 21:37:44,1078,-122.39731,37.79883,10.278,324.0,,0

1526,12/05/2016 21:37:59,1078,-122.39816,37.7998,11.111,324.0,,0

1526,12/05/2016 21:38:10,1078,-122.39892,37.80066,9.722,324.0,,0
